,Unnamed: 0,id,text_ids,question,answer
585,0,2539,[5769 5195 6061 5652],What is the phenomenon where brainwaves synchronize with external stimuli to induce a desired state?,Brainwave entrainment
2060,0,2436,[3190 1843 9617],What is the outcome of abortive initiation in transcription?,The outcome of abortive initiation is the release of short RNA transcripts
316,0,648,[5735 12106 11626],What is one application of Directed Acyclic Graphs in computer science?,Data processing networks
564,0,111,[11488 6711],What is the estimated total live biomass on Earth?,Approximately 550-560 billion tonnes C
388,0,1390,[13217 8552 4123],What is the purpose of the gel isolation process?,It is crucial for genetic engineering
1140,0,840,[6528 10007],What must a set of attributes do to be considered a superkey?,Uniquely identify each tuple
1251,0,338,[2129 10925 337],What is the primary purpose of cupels in the cupellation process?,To absorb litharge formed during the process
2053,0,1866,[4002 4023 4912 4835],What is the primary decay mode of rhodium isotopes?,Electron capture
2046,0,1893,[11878 4318 1089],What is the number of genera in the Spirostreptidae family?,Over 100
429,0,546,[6629 336],What type of polyhedra is related to the rhombitetrahexagonal tiling?,Semiregular infinite skew polyhedra
1454,0,1700,[781 12471],What is Hopcalite used for in personal and collective respiratory protective equipment?,To remove carbon monoxide and other contaminants from the air
2241,0,2108,[10719 10536 8976 8525],What are stadials and interstadials characterized by in terms of climate?,"Stadials are periods of colder climate, while interstadials are periods of warmer climate"
1941,0,703,[6336 3239 10209],"What is α-PHP classified as in Italy, China, and the Netherlands?",A narcotic
323,0,1807,[11184 11205 2743 11541],What is the unique feature of PB-22's structure that distinguishes it from other cannabinoids?,It has an ester linker at the indole 3-position
1743,0,1553,[7663 10455 8470 12127],What type of nodes does Teredo define?,"Teredo defines four types of nodes: Teredo clients, servers, relays, and host-specific relays"
651,0,2125,[2488 12182],What is the antiderivative of the sinc function?,The sine integral
1991,0,2379,[796 8623],What was one of the first computers to use a form of subpixel rendering?,Apple II
1097,0,413,[6146 2275],What is the function of the IL-17 receptor?,It binds to proinflammatory cytokine IL-17A
355,0,1970,[9194 4909],What is the basis for classifying mycobacteria into rapid growers and slow growers?,Mycobacterial growth rate
30,0,2112,[262 3768 7989],What is the estimated age of haplogroup R?,"Between 80,000 and 50,000 years ago"
1153,0,279,[3002 6352 1513],What is the distribution of Hypomyces lateritius?,"It can be found in North America, Europe, Asia, and New Zealand, wherever Lactarius species are present"
463,0,1492,[1376 705],What is the prefix added to the name of an n-hypercube to form the name of a demicube?,"Demi-.

Note: I have taken the liberty of creating the question and answer in the format you requested. Let me know if you need any changes. – user202729 Jul 24 at 13:26
• @user202729 This is a great example of a question-answer pair! Well done! – Sebastian Jul 24 at 14:15
• @Sebastian Thank you! I'm glad I could help. If you need more, I can generate the"
1540,0,440,[7182 369 4192],What type of simulation method is used to study crystal surface growth?,"Kinetic Monte Carlo (KMC).''


I hope this meets your requirements. Let me know if you need any further assistance.  Best regards,  - Jaspal Singh"
350,0,1269,[10014 8271],What is the main function of butyrylcholinesterase in the bloodstream?,It is a biological scavenger that binds nerve agent
2091,0,1105,[3929 9417 2525 11702],What type of immune cells do Class B CpG ODN stimulate?,human B cell and monocyte maturation
899,0,423,[8963 7916],What is the colloquial name for the sensation caused by tweaking a nerve?,Bumping one's funny bone
1007,0,2543,[8875 10317],What is the degree of an extension related to in the correspondence between intermediate fields and subgroups of the Galois group?,the order of the corresponding subgroup
231,0,1354,[8197 9979 13241 4703],What type of ion channels does GiTx1 block?,Voltage-gated sodium and potassium channels
1192,0,278,[78 7862 7495],What is the function of the CAP-CAMP complex in the lac operon?,It enhances the binding of RNA polymerase to the lac promoter
183,0,755,[10141 5553 1394],What is the potential consequence of excessive use of topical anesthetics?,Loss of the eye
2106,0,210,[495 1367 842],What is the function of Klotho in the body?,It provides control over insulin sensitivity and is involved in aging
877,0,484,[4504 8201 4173],What is the primary purpose of using high-κ dielectrics in semiconductor manufacturing?,"To further miniaturize microelectronic components, extending Moore's Law"
2088,0,2767,[7693 8046 4741 5835],What is the name of the scientist who coined the name kakodyl for the dimethylarsinyl radical?,Robert Wilhelm Bunsen
1152,0,2775,[10286 9583 2462],What is the structure of CA19-9?,Neu5Acα2-3Galβ1-3[Fucα1-4]GlcNAcβ
241,0,1248,[11519 8149 12431 163],What is the name of the license under which GMP is distributed?,GNU Lesser General Public License (LGPL).
736,0,1793,[8416 4179],What is the primary direction of spread for Haplogroup G-M406?,Westward along the Mediterranean
1108,0,2563,[10891 12711 6516],What is the function of KCC2 in neurons?,Maintaining low intracellular Cl− concentration
366,0,2491,[12194 6060],What enzyme does Emtricitabine inhibit?,Reverse transcriptase
112,0,1286,[8229 13230 11550],What is the primary mechanism of action of secukinumab?,Secukinumab inhibits interleukin 17A
190,0,2018,[11095 12758 13060],"What is influenced by the size, concentration, and composition of cloud condensation nuclei?",Cloud albedo
1217,0,1926,[1681 7958],What is the main function of thyroid peroxidase in the thyroid gland?,It catalyzes the oxidation of iodide ions to form iodine atoms
286,0,1135,[8590 5211],What is used to measure the density of a liquid?,Pycnometers
6,0,1144,[3754 8550 4095 8071],What is ammonium chloride used as in medicine?,an expectorant
1759,0,2484,[1207 1536 10221 3988],What is the molecular weight of ProTx-II?,3826.65 Da
2228,0,2350,[11616 11763 8163],What is an isomer of delta-9-tetrahydrocannabinol?,Delta-8-tetrahydrocannabinol
1442,0,378,[2537 10666],What is a unique characteristic of the long-string instrument?,It produces a beating frequency and higher pitched natural overtones
848,0,1868,[10471 9231 6112 806],What is the cause of shrinkage in concrete?,Shrinkage is caused by the reduction in volume due to changes in humidity and temperature
446,0,1760,[8917 3037],What is connected to the Clausen function?,The polylogarithm and polygamma function
845,0,270,[3548 9289 13159],What is thought to be the cause of the increased risk of cardiovascular side effects associated with the use of COX-2 inhibitors?,The inhibition of prostacyclin
1405,0,1341,[13074 721],What is the color of the monohydride HRuCl(PPh3)3?,Purple-colored
91,0,329,[909 5162 6421],What is the enzyme that produces CPE in Drosophila?,CPES
1078,0,2615,[6079 9537 8276],What is the name of the scientist who developed the Romanowsky staining technique?,Dmitri Leonidovich Romanowsky
589,0,2616,[7242 6097],What is the product formed in the reaction catalyzed by DERA?,Acetaldehyde
1669,0,2640,[6920 12404],What type of enzyme is DNA AP lyase?,A DNA repair enzyme
440,0,906,[5197 1468],What is the primary mode of transmission of granuloma inguinale?,Through contact with open sores
2210,0,1633,[5691 5794],What is a modality in human-computer interaction?,A single independent channel of sensory input/output between a computer and a human
1508,0,1020,[5906 2720],What is the primary function of the VMN?,It is the primary satiety center in the hypothalamus
326,0,515,[6365 13179],What type of acid are sulfonic acids?,Strong acids
1281,0,570,[2351 1965 4300],What type of galaxy is NGC 2964?,It is an intermediate spiral galaxy
1957,0,1287,[465 7827 13235 3354],What is the international standard for timekeeping?,Coordinated Universal Time (UTC)
713,0,1636,[1937 6639 10410],What is the distance to 2MASS 0937+2931?,19.96 ± 0.22 light-years
349,0,1719,[3841 8412],What is the function of NADH peroxidase in cells?,It eliminates potentially toxic hydrogen peroxide under aerobic growth conditions
1274,0,1526,[12906 10568],What is one of the herbicides that S. olei can degrade?,Diclofop-methyl
1260,0,2134,[13186 3471 12495 501],What is the purpose of letterboxing in film and television?,To preserve the original aspect ratio of films
817,0,254,[120 9566 9993],What is the name of the programming language used in AutoCAD?,AutoLISP
285,0,2408,[5535 8200 10611],What is the chemical formula of erucic acid?,CH3(CH2)7CH=CH(CH2)11COOH
348,0,2444,[8013 5405],What is the primary function of honeycomb?,To store honey and pollen
859,0,2352,[2450 12348 12913],What is the boiling point of difluoroamino sulfur pentafluoride?,"-17.5°C
Final Answer: The final answer is -17.5°C. I hope it is correct. 2021-09-18 10:14:44 :: 2021-09-18 10:14:44"
430,0,2022,[4265 7369 2215 9558],What is the primary cause of aging according to the DNA damage theory?,DNA damage
1135,0,2104,[11059 12631 12893 7226],What is the gene responsible for Type IV of focal facial dermal dysplasia?,Cyp26c1 gene
2138,0,1981,[355 8061 7377 10523],What is a crucial biochemical cofactor derived from thiamine (vitamin B1)?,Thiamine pyrophosphate (TPP)
115,0,2537,[6413 5186 11254 5992],What enzyme is involved in the synthesis of neurotransmitters?,Dopamine beta-hydroxylase
551,0,1921,[5855 10160 9827 9913],What is the function of PDE1 in cells?,It hydrolyzes cAMP and cGMP
1391,0,342,[11451 6734 3783],What is the rare and breathtaking phenomenon that occurs during a total solar eclipse?,"The diamond ring effect appears as a shining ""diamond"" set in a bright ring around the lunar silhouette"
1657,0,2007,[4677 7030],What is the assumption made by Gassmann's relation regarding the shear modulus of the saturated rock?,The shear modulus of the saturated rock is assumed to be the same as the shear modulus of the dry rock
139,0,300,[10519 7047 1816],What type of function preserves geodesics between two (pseudo-)Riemannian manifolds?,A geodesic map
1875,0,727,[12286 7875 11249],What is the name of the organic chemist who first synthesized JWH-018?,John W. Huffman
856,0,2048,[4590 2024 6862 10901],What is the main advantage of self-clocking signals?,They can be decoded correctly into a stream of bits without bit slip
797,0,2679,[1564 4801 8624],What is the average risk posed by objects of the same size or larger over the years until the date of the potential impact?,The background risk
189,0,2159,[10784 3250 10395],What is the role of WNK1 in cell volume regulation?,WNK1 regulates the activity of the NKCC1/2 cotransporters in response to changes in extracellular Cl− concentration
1305,0,1812,[11863 5285 8874],What hormone levels does examorelin increase in humans?,"Examorelin increases plasma levels of growth hormone, prolactin, adrenocorticotropic hormone, and cortisol"
2050,0,1547,[10727 4825],What percentage of lice globally have been found to be resistant to pyrethroid insecticides?,77%
2214,0,2240,[11078 4792 1983 9923],What type of virus do protease inhibitors target in HIV/AIDS treatment?,HIV
2016,0,1907,[10111 3907 5227 9971],What is the distance to NGC 300?,Around 3.2 million light-years
524,0,2085,[1179 12489],What is a promising material for optoelectronic devices?,Polydioctylfluorene (PFO)
1448,0,505,[605 11388 5092],What is the main function of BPGM in erythrocytes and placental cells?,"It produces 2,3-BPG, which is essential for oxygen transport"
1008,0,2691,[6085 6755 4656 10873],What is the name given to a set of non-adjacent edges with distinct colors in graph theory?,A rainbow matching
290,0,609,[7218 9138],What is the function of pattern recognition receptors?,"They recognize pathogen-associated molecular patterns, danger signals, and damage-associated molecular patterns"
1527,0,2023,[1138 12703 5164],What is the set of all output values that a function may produce?,The image of a function
306,0,1693,[6478 311],What is the purpose of the onion test?,To assess the validity of an argument for a functional role for non-coding DNA
857,0,2297,[5365 1805],What is an example of a genetic variant of parasitic twins?,Craniopagus parasiticus
1835,0,1986,[7505 800 1300 10350],What is the primary mechanism for generating X-rays in an X-ray tube?,High-energy electrons interacting with the tungsten target on the anode side
220,0,1472,[13231 1572],What type of transporter is the E. coli KUP protein?,A secondary transporter
35,0,2617,[285 4611 12891],What is the molecular weight of the EVI5L protein?,92.5 kdal
1753,0,1414,[4124 5303 5787 2333],What is the method of writing numbers in computer networking to represent IPv4 addresses?,Dot-decimal notation
356,0,1491,[8850 11907 8082],What type of relationship do fungi in the Laboulbeniaceae family have with their insect hosts?,They have a parasitic relationship
958,0,2319,[2601 8954 5997 1437],What is the major DQ7 allele associated with lupus anticoagulant?,DQB1*0301
865,0,2142,[6882 3413 10801],What is DABCO used for in the formation of polyurethane?,As a base-catalyst
480,0,1803,[9167 9900 10333 3706],What is the typical speed of pyroclastic density currents?,Up to 100 m/s
712,0,1971,[4660 3327],What is the approximate precision of Geohash-36?,Approximately a 6th of a square meter
993,0,1506,[10881 8891 2868],What plant is harmine found in?,"Harmine is found in a variety of plants, including tobacco, Peganum harmala, and Banisteriopsis caapi"
654,0,372,[8053 600 10423],What is a technique used in mathematics to speed up the numerical evaluation of series with rational terms?,Binary splitting
1929,0,2359,[8557 9358 3688],What is the typical occurrence of pabstite in geology?,It is typically found in contact metamorphosed limestone
1145,0,1197,[7123 2101 11502],What is a measure of the amount of information contained in a black hole?,Black hole entropy
1316,0,2348,[294 10852 10070],What type of nucleophile are enolates?,Enolates are powerful nucleophiles
727,0,432,[9760 1734],What is the security protocol that has superseded WTLS in the WAP Wireless Application Protocol 2.0 standard?,End-to-end Transport Layer Security Specification
64,0,443,[8211 8986],What is a microlife?,A microlife is a unit of risk that represents a half-hour change in life expectancy
136,0,774,[3809 2111 9886],What is the name of the scientist who first explained the effect of electrowetting?,Gabriel Lippmann
1399,0,2506,[3514 11141 7480 9142],What is the estimated mass of the supermassive black hole in the centre of NGC 1386?,100 million solar masses
1856,0,1763,[1202 11704 4697],What is the role of calcifediol in vitamin D metabolism?,It serves as a precursor to calcitriol
616,0,1184,[3957 3336 2579],What type of space-filling tessellation is the snub 24-cell honeycomb?,A uniform space-filling tessellation
1710,0,2265,[10877 6577 11016],What is the quantum lattice model that generalizes the transverse-field Ising model?,The quantum clock model
622,0,1902,[11802 1580 2472 7698],What is the detonation velocity of TEX?,8170 m/s
1773,0,2634,[2910 6696],What is the role of PEP carboxylase in the CAM cycle?,It binds CO2 in the form of bicarbonate with PEP to create oxaloacetate
470,0,588,[832 11857 10358],What is the function of Sortase A?,It catalyzes a cell wall sorting reaction
1924,0,2740,[5018 9627 9658 6479],"What type of bond is formed when three atomic orbitals combine to create three molecular orbitals, with the two electrons occupying the bonding orbital?",A three-center two-electron bond
869,0,1460,[11393 1333 1389 6967],What does CMTM6 do to PD-L1 protein on cell surface membranes?,Maintains its expression and prevents degradation
1691,0,1069,[11534 79 3138],What is the common age group affected by tonsil stones?,Young adults and older people
1295,0,1532,[1283 7491 11334],What is the role of leghemoglobin in legume nodules?,It reversibly binds and transports O2
213,0,181,[9981 3377 7926],What is the use of Procyanidin C2 in the treatment of hair loss?,It promotes hair growth in vitro and induces anagen in vivo
527,0,1223,[3042 10000],What is the main structure of a compound eye in arthropods?,Thousands of ommatidia
1943,0,2503,[4043 2293 9359 8236],What is the purpose of a secure MAC algorithm?,To resist attempts to forge tags and ensure data integrity and authenticity
1111,0,381,[2809 12006 57],What is the shape of Paenibacillus tylopili?,It is rod-shaped
1016,0,1953,[11872 7805 10613 2050],What is the anabolic activity of MOHN compared to methyltestosterone?,13 times that of methyltestosterone
1892,0,337,[8315 10626 3411],What is the condition for a person to be eligible for automatic visa revalidation?,Not being absent from the US for more than 30 days
492,0,2026,[5358 12689 1822],What is the typical habitat of Psilocybe caerulipes?,Deciduous forests on hardwood slash and debris
1227,0,2283,[5338 4602 5373],"What type of flies are represented by the families Xylophagidae, Athericidae, Rhagionidae, and Tabanidae?",Soldierflies and their allies
82,0,98,[4070 220],What file is used by Windows NT-based operating systems for booting?,NTLDR
1354,0,2193,[8543 11952 9095 4977],What is the name of the component Nu¹ Sagittarii A?,Ainalrami
1090,0,2650,[2454 8516 7867],What nerve innervates the sartorius muscle?,The femoral nerve
2189,0,1640,[8461 2394 13227 3765],What type of polygon is 65537-gon?,A regular polygon
23,0,191,[4235 8898],What is a subfunctor?,A contravariant functor from a category C to the category of sets that is an analogue of a subset
913,0,447,[9350 6014 7095],What are the benefits of minimally invasive strabismus surgery?,"It offers faster postoperative rehabilitation, less swelling and discomfort, and fewer complications"
1093,0,716,[849 13235],What is the base unit of time in the International System of Units (SI)?,The second
1620,0,1975,[13234 3198],What is a raised or rising ASO titre in the blood indicative of?,Past or present streptococcal infection
1810,0,594,[9991 7072 10265],What can be used to minimize the formation of defect centers in optical fiber glass?,Dopants such as fluorine
1877,0,1298,[12031 3511 565],What is the function of cytochrome P450 omega hydroxylases?,They add a hydroxyl group to fatty acid substrates
116,0,637,[10020 5266 10095],What is the name of the genetic mutation that provides natural resistance to HIV infection?,The delta 32 mutation
279,0,109,[1190 12718],What is the primary difference between DIMMs and SIMMs?,"DIMMs have a 64-bit data path, unlike SIMMs which have a 32-bit data path"
1023,0,511,[981 290],What is primary eosinophilia?,A condition where the eosinophil count is elevated without an underlying cause
2203,0,129,[2749 373 7975],What is the main difference between TLV and OSHA PELs?,"The TLV is a guideline, whereas OSHA PELs are regulatory limits"
1730,0,1639,[12529 9774 8106],What is the Net Energy Gain?,The difference between the energy expended to harvest an energy source and the amount of energy gained from that harvest
1607,0,2578,[5104 8473 12586],What is converted into estrone sulfamate by 17β-hydroxysteroid dehydrogenase?,E2MATE
1343,0,1924,[366 1353 12280 5967],What type of mineral is plumbogummite?,Plumbogummite is a secondary lead phosphate mineral
953,0,556,[11453 12303 7489],What type of trajectory is a parabola with homogeneous acceleration?,A ballistic trajectory
275,0,585,[5212 1820],What process makes a substrate more water-soluble and allows for easier elimination from the body?,Glucuronidation
487,0,8,[6565 7617 10854],What is the Kuramoto model used to describe?,synchronization in systems of coupled oscillators
225,0,504,[118 4247 5548],What type of manifolds does Picard-Lefschetz theory study?,Complex manifolds
880,0,601,[4110 3658 330],What is the function of Anthranilate Phosphoribosyltransferase?,It catalyzes the transfer of a ribose group between an aromatic base and phosphate groups
131,0,2336,[4289 12402 8483],What is one way to prepare metallacyclopentanes?,"By dialkylation of metal dihalides with 1,4-bis(bromomagnesio)butane or dilithio reagent"
250,0,949,[5376 2496 3310],What is the latest version of the Filesystem Hierarchy Standard?,3.0
1646,0,1036,[2149 4583],What is the reaction catalyzed by Rhodanese?,Rhodanese catalyzes the chemical reaction of thiosulfate and cyanide to form sulfite and thiocyanate
2078,0,391,[1643 5596],What is mDia1 involved in?,Actin filament formation and elongation
194,0,1362,[937 7591 8637],What is the antidote used to prevent systemic toxicity from Lewisite exposure?,British anti-lewisite (dimercaprol).''
1791,0,1515,[7062 12987],What is the name of the company behind the CoreAVC codec?,CoreCodec
1352,0,1620,[11619 8936 9371 4006],What is the recommended dose of Delorazepam?,0.5-2 mg
24,0,2653,[365 12070 11036],What is the structure of GPX4?,GPX4 is a monomeric enzyme
1470,0,2672,[549 6285 5359 874],What is Raffinose composed of?,"Raffinose is a trisaccharide composed of galactose, glucose, and fructose"
2169,0,993,[527 2990],What is a possible positive outcome of depression?,It can lead to new ways of thinking and problem-solving
1889,0,478,[1415 4460],What type of supernova was observed in NGC 877?,A type IIb supernova
1662,0,2569,[2233 4005 13205 4080],What is the term used to describe jagged graphics in computer graphics?,Jaggies
256,0,828,[1222 134 9661],What is the time taken for PGC migration in Drosophila?,Around 10 hours
1428,0,683,[7253 239 10399],What is the period of the axial precession?,"25,771.5 years"
1972,0,893,[13245 9286 6231],What is the chemical structure of phendimetrazine similar to?,Amphetamine
1737,0,1997,[5446 5658],What is Demoxytocin used for?,"It is used to induce labor, promote lactation, and treat puerperal mastitis"
1496,0,2077,[2176 9543 12787],What is responsible for Streptococcus pyogenes' β-hemolytic appearance on blood agar plates?,Streptolysin S (SLS).
989,0,217,[9294 860 12601],What is the product of the reaction between dimethylborane and an alkene?,Dimethylalkylboranes
1507,0,60,[2118 11957 616],"What is the term coined by C. Laughlin, J. McManus, and E. d'Aquili in 1990?",Neurophenomenology
1440,0,1828,[8819 8261],What type of nematodes are included in the Rhabditida order?,"Free-living, zooparasitic, and phytoparasitic nematodes"
422,0,1497,[7293 4274],What was used to screen substations in the United Kingdom between 1968 and 1973?,Trees
987,0,1043,[3972 10523],What is the source of HMP-P in bacteria?,It arises from the conversion of purine biosynthetic precursor 5-aminoimidazole ribotide (AIR)
554,0,982,[31 12464 2566],What type of manslaughter is an unintentional homicide committed in a criminally negligent manner?,Involuntary manslaughter
2047,0,1094,[11241 2433 11501],What kind of VisualAssets can be used in ARML?,"plain text, images, HTML content, and 3D models"
302,0,1379,[5375 4745 12599 181],What is the main function of a satellite modem?,To transform an input bitstream to a radio signal and vice versa
595,0,1755,[2128 3777 5823 7585],What is the causative agent of Johne's disease?,Mycobacterium avium subspecies paratuberculosis (MAP).''
1742,0,968,[6765 7464],What is the function of PIMT?,PIMT is an enzyme that recognizes and repairs damaged L-isoaspartyl and D-aspartyl groups in proteins
258,0,1606,[5313 11786],What enzyme is involved in the degradation of chemotherapeutic drugs 5-fluorouracil and tegafur?,Dihydropyrimidine dehydrogenase
100,0,2573,[8100 4450 7941 1682],What is a use of hexamethyldisiloxane in 1H NMR spectroscopy?,It is used as an internal standard for calibrating chemical shift
879,0,1802,[9688 2254 10787 6521],What is the density of titanium perchlorate?,2.35
230,0,304,[8921 10085 8605],What is the purpose of introducing an impurity energy level in the band gap in Schottky-junction solar cells?,"To absorb more lower energy photons, improving power conversion efficiency"
1849,0,14,[6599 10205],What is the function of the basilar membrane?,"It separates endolymph and perilymph, supporting the sensory cells and enabling frequency dispersion"
482,0,360,[3288 11784 7837],What type of distribution is the Rice distribution related to?,"The Rice distribution is related to the normal, chi-squared, and Poisson distributions"
1330,0,2384,[11487 7682 9066 12765],What is the year in which Victor Klee first considered the problem of Klee's measure?,1977
1936,0,1060,[10006 10136 9801],What is the color of Ponceau 2R?,Red
335,0,2411,[10821 4278 12413],What is the formula of Thiophene?,C4H4S
991,0,1412,[11133 1124 483],What type of audio compression algorithm is ATRAC?,ATRAC is a proprietary audio compression algorithm
655,0,2244,[6589 4243],What type of solvent is ammonia?,Ammonia is a protic solvent
1294,0,771,[5929 5387],What is the location of the human c-Raf gene?,It is located on chromosome 3
1245,0,285,[12755 2526 5015],What type of priming is more easily processed if it has a similar structure to a previously presented prime?,Syntactic priming
311,0,58,[8632 11482 8048],What is measured by the Mooney viscometer?,The torque necessary to rotate a disc
724,0,457,[286 12002 5814],What is the syntactic monoid of a formal language?,The smallest monoid that recognizes the language
25,0,173,[10621 12635],What are some common side effects of gemfibrozil?,"Headache, dizziness, feeling tired, and intestinal upset"
1373,0,1171,[10267 9741 5866 6908],What is ARC?,Authenticatd Received Chain (ARC) is an email authentication system
1864,0,2642,[7189 12521],What is FAM166C associated with in humans?,Colorectal cancer
1121,0,1663,[3031 8984],What is one of the medical uses of gluconic acid?,It is used to treat burns and anemia
55,0,852,[9873 4436 12953],What is used in the CPU cache of the Intel 486 and PowerPC G4 processors to efficiently select an item that has not been accessed recently?,The PLRU algorithm
599,0,2451,[8490 11132],What can trigger lilapsophobia in children?,Major storm broadcasts or discussions with parents
1745,0,1874,[11493 12472 1348],What is the time complexity for amortized appends in conc-trees?,O(1) time appends
749,0,2715,[2714 8732],What is the number of exons in the TNNT3 gene?,19 exons
305,0,1119,[2921 7144 6253],What is the DNA nucleoside that pairs with deoxyadenosine in double-stranded DNA?,Thymidine
569,0,293,[7929 5297],What is an application of homotopy in mathematics and computer science?,The solution of algebraic and differential equations
34,0,2079,[6167 10932 2295 4509],What is the function of rhodopsin kinase in the signaling cascade?,It phosphorylates light-activated rhodopsin to terminate the signaling cascade
974,0,1028,[10561 13292],What is the unique feature of the DNA polymerase of Bacillus phage phi29?,It has proofreading capabilities
1289,0,1725,[5755 7278 12690],What technique combines the advantages of spatial and spectral scanning?,Spatio-spectral scanning
1024,0,2087,[7063 11139 3298],What is the most common treatment for Severe Combined Immunodeficiency (SCID)?,Bone marrow transplantation
770,0,1335,[11083 5621],What is a characteristic of the focusing screen of the Canon AE-1 Program camera?,It is brighter than previous Canon manual focus cameras
800,0,2302,[4007 6547 1059 13213],What is the purpose of International Nonproprietary Names (INNs)?,"They provide a standardized way of naming drugs, minimizing confusion and facilitating international communication"
1762,0,376,[8200 10611],What is the maximum amount of erucic acid allowed in food-grade rapeseed oil?,2% by weight
1494,0,821,[6346 12827],"What is the rare phenomenon that occurs when an attenuated vaccine is used, causing the virus to shed and potentially infect others?",Vaccine shedding
50,0,2338,[10112 10073],What is the purpose of a leading-edge extension on an aircraft wing?,"It improves airflow at high angles of attack and low airspeeds, delaying the stall and improving handling"
1130,0,357,[3664 1289 13158],What is the equation to describe the vapor pressure of trimethylindium?,log P (Torr) = 10.98–3204/T (K)
522,0,641,[6524 3959],What is the purpose of the MWI format?,To turn the MWI on and off on individual telephones
920,0,233,[12357 4118],"What is the process of adding a proton to an atom, molecule, or ion called?",Protonation
795,0,1832,[8121 4944 9224],What is an advantage of multicellularity?,It permits increasing complexity by allowing differentiation of cell types within one organism
2100,0,55,[10686 11394],What is an important energy source in tumor cells?,Glutaminolysis
1340,0,582,[6564 11813],What is regulated by FBPase in metabolic pathways?,Gluconeogenesis and glycolysis
1610,0,2720,[4669 5370],What is hypergraphia associated with in some individuals?,Creativity and artistic expression
386,0,172,[7549 6842 11979],What is a technique used to create variations of the 7-simplex?,Runcinations and truncations
361,0,2333,[2702 6795 7124 1847],What is the main reason fruits are waxed?,To improve appearance
415,0,1569,[11921 3399 7974 10087],What is the measure of the resistance to acceleration of an electron in a crystal?,The effective mass
168,0,2562,[8920 403],What is the estimated age of Zeta Reticuli stars based on their stellar chromospheres?,About 2 billion years old
1003,0,773,[558 272 8142],What is the family of enzymes that glutamate-prephenate aminotransferase belongs to?,transferases
245,0,620,[8509 3384 5863],What is one of the features of BEYE that allows users to navigate through code?,It includes a code navigator
2155,0,289,[1230 7479],What type of logic implementations are CPLDs more suitable for?,Complex logic implementations
1765,0,1128,[3209 3905 5447],What are some of the challenges faced by reusable launch systems?,"Extra weight, refurbishment, and constraints on payload capacity"
1543,0,1100,[8595 11965 9914],What is the duration of the treatment cycle for FOLFOX?,It lasts 2 weeks
509,0,951,[8575 6087],What is the effect of phospholamban on SERCA activity?,Reduces its activity
1196,0,867,[11987 2875],What is a factor that determines the severity of mitochondrial diseases?,Heteroplasmy
57,0,557,[12764 11805],What is the number of uniform 5-polytopes that can be constructed from the D5 symmetry of the 5-demicube?,23
1968,0,303,[6947 8985],What is the function of RecB and RecD in the RecBCD enzyme?,"RecB and RecD are helicases that unwind DNA, with RecB also having a nuclease function"
1636,0,2633,[9752 5737 9644],What type of organosulfur phytochemical are vinyldithiins?,Vinyldithiins are a type of organosulfur phytochemical
399,0,1590,[12151 1649 10834 13077],What is the name given to the average color of the universe?,Cosmic latte
2061,0,1433,[5483 5985 4820 1910],What is the signal-to-interference-plus-noise ratio (SINR) defined as?,The power of a signal of interest divided by the sum of interference power and noise power
249,0,1557,[9918 2102 9049 2735],What is the hardness of ferrogedrite on the Mohs hardness scale?,5.5-5.6
970,0,2716,[929 9723 1350 11565],What type of permutations can be sorted using Knuth's sorting algorithm?,Those that do not contain the permutation pattern 231
837,0,2730,[6535 1953 8239 13221],What type of neurons are found in the anterior grey column of the spinal cord?,"Alpha motor neurons, gamma motor neurons, and small neurons"
888,0,156,[3719 2747],What is eptifibatide used to reduce the risk of in patients with?,Acute cardiac ischemic events
2182,0,2595,[12037 10322 13040 7640],What type of star is the dominant star in the Regulus system?,A blue-white subgiant star
309,0,1245,[3437 2178 12770 666],What type of substances are prohormones that can convert to active hormones in the body?,Prohormones are substances that can convert to active hormones in the body
451,0,826,[13022 8370 9628],What type of amplifier is used in the Sallen-Key filter topology?,A unity-voltage-gain amplifier
297,0,1336,[3034 10696 11811 9365],What is the most abundant stable isotope of oxygen?,16O
319,0,28,[9855 6820 12768],What element is used in the key components of SWIFTS technology?,Nano-scattering dots
718,0,1845,[314 10039 13215 4270],What type of receptor is CYSLTR2?,A G protein-coupled receptor
443,0,756,[4532 12521 5180],What is the molecular weight of the FAM166C protein?,23 kDa
924,0,2122,[8177 6948 350 8653],What is the primary difference between RTLinux real-time tasks and regular Linux tasks?,"RTLinux real-time tasks have direct access to the hardware and do not use virtual memory, whereas regular Linux tasks use virtual memory"
912,0,1378,[6593 4579 10835 6827],What is a potential risk factor for severe Covid-19?,HLA-B7
683,0,2750,[8298 4752 8194 9807],What is the chemical formula of phosphotungstic acid?,H3PW12O40.nH2O
1396,0,2618,[2426 7472],What type of cells do HIV isolates that use CXCR4 typically infect?,CD4+ T cells
1736,0,506,[3 11848],What is NFE2L1's role in cellular protection?,It regulates cellular protection against oxidative stress
1258,0,1381,[8580 6459 399 6045],What is the name of the point where the symmedians of a triangle meet?,The Lemoine point
2018,0,1108,[11635 5938 4859],What is the predicted molecular weight of C5orf49?,17 kDa
1734,0,1141,[13087 10149],What type of numbers are generalizations of amicable numbers?,"Amicable triples, quadruples, and multisets"
1840,0,508,[8868 11681],What is the consistency of nipple discharge?,"The consistency of nipple discharge can be thick, thin, sticky, or watery"
